Uptime,Volts,Temp,Door,I,N
1,12.11,21.90,0,1,1
4,12.11,21.82,0,1,2
7,12.11,21.99,0,1,3
10,12.11,21.90,1,1,4
13,12.11,21.90,0,1,5
16,12.08,21.90,0,1,6
19,12.08,21.90,0,1,7
22,12.08,21.82,0,1,8
25,12.08,21.73,1,1,9
28,12.08,21.82,0,1,10
31,12.08,21.82,1,1,11
34,12.08,21.73,1,1,12
37,12.08,21.30,0,1,13
40,12.08,18.54,1,1,14
43,12.08,15.18,0,1,15
46,12.08,12.57,0,1,16
49,12.08,10.27,0,1,17
52,12.08,8.01,0,1,18
55,12.08,6.16,0,1,19
58,12.08,4.26,0,1,20
61,12.08,2.59,0,1,21
64,12.08,0.98,0,1,22
67,12.06,-0.58,0,1,23
70,12.08,-1.98,0,1,24
73,12.08,-3.54,0,1,25
76,12.08,-4.69,0,1,26
79,12.08,-6.12,0,1,27
82,12.08,-7.23,0,1,28
85,12.08,-8.13,0,1,29
88,12.08,-9.18,0,1,30
91,12.08,-9.99,0,1,31
94,12.06,-10.68,0,1,32
98,12.08,-11.39,0,1,33
101,12.08,-12.26,0,1,34
104,12.08,-12.71,0,1,35
107,12.08,-13.32,0,1,36
110,12.08,-13.78,0,1,37
113,12.06,-13.94,0,1,38
116,12.08,-14.58,0,1,39
119,12.08,-14.74,0,1,40
122,12.08,-15.23,0,1,41
125,12.08,-15.23,0,1,42
128,12.08,-15.73,0,1,43
131,12.08,-15.90,0,1,44
134,12.03,-16.07,0,1,45
137,12.08,-15.90,0,1,46
140,12.08,-16.41,0,1,47
143,12.08,-16.58,0,1,48
146,12.08,-16.76,0,1,49
149,12.08,-16.58,0,1,50
152,12.08,-16.76,0,1,51
155,12.08,-16.93,0,1,52
158,12.08,-17.11,0,1,53
161,12.08,-17.11,0,1,54
164,12.08,-16.93,0,1,55
167,12.08,-17.29,0,1,56
170,12.08,-17.47,0,1,57
173,12.06,-17.47,0,1,58
176,12.08,-17.47,0,1,59
179,12.08,-17.29,0,1,60
182,12.06,-17.47,0,1,61
185,12.08,-17.65,0,1,62
188,12.08,-17.29,0,1,63
191,12.08,-17.29,0,1,64
194,12.06,-17.65,0,1,65
197,12.06,-17.65,0,1,66
200,12.06,-17.65,0,1,67
204,12.08,-17.47,0,1,68
207,12.06,-17.65,0,1,69
210,12.08,-17.47,0,1,70
213,12.06,-17.83,0,1,71
216,12.06,-17.65,0,1,72
219,12.06,-17.83,0,1,73
222,12.06,-17.83,0,1,74
225,12.06,-17.65,0,1,75
228,12.06,-17.47,0,1,76
231,12.06,-17.83,0,1,77
234,12.06,-17.83,0,1,78
237,12.06,-17.65,0,1,79
240,12.06,-17.65,0,1,80
243,12.06,-17.83,0,1,81
246,12.06,-17.83,0,1,82
249,12.06,-17.83,0,1,83
252,12.06,-17.83,0,1,84
255,12.06,-17.65,0,1,85
258,12.06,-18.01,0,1,86
261,12.06,-18.01,0,1,87
264,12.06,-17.65,0,1,88
267,12.06,-18.01,0,1,89
270,12.06,-18.01,0,1,90
273,12.06,-17.65,0,1,91
276,12.06,-18.01,0,1,92
279,12.06,-18.01,0,1,93
283,12.06,-17.83,0,1,94
286,12.06,-17.83,0,1,95
289,12.06,-17.83,0,1,96
292,12.06,-17.83,0,1,97
295,12.06,-18.01,0,1,98
298,12.06,-18.01,0,1,99
301,12.06,-17.83,0,1,100
304,12.06,-18.01,0,1,101
307,12.06,-18.01,0,1,102
310,12.06,-18.57,0,1,103
313,12.06,-17.83,0,1,104
316,12.06,-18.01,0,1,105
319,12.06,-18.01,0,1,106
322,12.06,-17.83,0,1,107
325,12.06,-17.83,0,1,108
328,12.06,-17.83,0,1,109
331,12.06,-18.20,0,1,110
334,12.06,-18.20,0,1,111
337,12.06,-18.01,0,1,112
340,12.06,-17.83,0,1,113
343,12.06,-18.20,0,1,114
346,12.06,-18.01,0,1,115
349,12.06,-18.20,0,1,116
352,12.06,-17.83,0,1,117
355,12.06,-18.20,0,1,118
358,12.06,-18.20,0,1,119
361,12.06,-18.20,0,1,120
364,12.06,-18.20,0,1,121
367,12.06,-18.01,0,1,122
370,12.06,-18.01,0,1,123
373,12.06,-18.01,0,1,124
376,12.03,-18.01,0,1,125
379,12.11,-18.01,0,1,126
383,12.06,-18.39,0,1,127
386,12.06,-18.20,0,1,128
389,12.06,-18.20,0,1,129
392,12.06,-18.20,0,1,130
395,12.06,-18.20,0,1,131
398,12.06,-18.20,0,1,132
401,12.06,-18.20,0,1,133
404,12.06,-18.01,0,1,134
407,12.06,-18.01,0,1,135
410,12.06,-18.20,0,1,136
413,12.06,-18.01,0,1,137
416,12.06,-18.39,0,1,138
419,12.06,-18.20,0,1,139
422,12.03,-18.20,0,1,140
425,12.06,-18.01,0,1,141
428,12.06,-18.20,0,1,142
431,12.06,-18.20,0,1,143
434,12.03,-18.20,0,1,144
437,12.06,-18.20,0,1,145
440,12.06,-18.01,0,1,146
443,12.06,-18.01,0,1,147
446,12.06,-18.39,0,1,148
449,12.06,-18.20,0,1,149
452,12.06,-18.39,0,1,150
455,12.06,-17.83,0,1,151
458,12.06,-18.20,0,1,152
461,12.06,-18.39,0,1,153
464,12.06,-18.39,0,1,154
467,12.06,-18.39,0,1,155
470,12.06,-18.39,0,1,156
473,12.06,-18.39,0,1,157
476,12.06,-18.01,0,1,158
480,12.06,-18.39,0,1,159
483,12.06,-18.39,0,1,160
486,12.06,-18.01,0,1,161
489,12.06,-18.20,0,1,162
492,12.06,-18.20,0,1,163
495,12.06,-18.39,0,1,164
498,12.06,-18.39,0,1,165
501,12.06,-18.20,0,1,166
504,12.06,-18.39,0,1,167
507,12.06,-18.39,0,1,168
510,12.03,-17.83,0,1,169
513,12.06,-18.39,0,1,170
516,12.06,-18.20,0,1,171
519,12.06,-18.20,0,1,172
522,12.06,-18.20,0,1,173
525,12.06,-18.39,0,1,174
528,12.06,-18.39,0,1,175
531,12.06,-18.39,0,1,176
534,12.06,-18.39,0,1,177
537,12.06,-18.20,0,1,178
540,12.06,-18.20,0,1,179
543,12.06,-18.57,0,1,180
546,12.06,-18.39,0,1,181
549,12.06,-18.39,0,1,182
552,12.06,-18.39,0,1,183
555,12.06,-18.39,0,1,184
558,12.06,-18.20,0,1,185
